optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
CMA-ES,0.065175,0.202833,0.159161,0.971504,0.044083,0.410638,0.132181,23.866932,0.083615,0.514442,0.12521,38.406052,0.015251,0.012497,0.004275,-0.003777,3.053929,0.104661,29.179198,2.635284
CMA-ES,0.061524,0.2001,0.149121,2.127446,0.072851,0.30371,0.135775,21.430107,0.083722,0.489761,0.126164,38.092236,0.014643,0.00927,-0.001407,0.017634,3.20119,0.108485,29.508073,2.76725
CMA-ES,0.060124,0.424174,0.151933,2.653928,0.066198,0.300321,0.129041,26.702007,0.076028,0.529229,0.126844,39.555141,0.016698,0.009634,0.017369,0.021023,3.316357,0.124662,26.602772,2.817708
CMA-ES,0.073392,0.293572,0.152911,1.086998,0.058408,0.300656,0.134428,23.350566,0.083566,0.503533,0.12762,38.861239,0.016567,0.008992,-0.00639,0.018833,3.190211,0.104707,30.467946,2.771382
CMA-ES,0.058201,0.312585,0.1536,1.126643,0.078462,0.300269,0.13299,22.270023,0.083745,0.498178,0.124935,39.436013,0.013222,0.008943,-0.001266,0.018932,3.194932,0.10538,30.318273,2.773413
CMA-ES,0.047479,0.200381,0.124871,1.4962,0.072744,0.411207,0.132922,25.295008,0.083502,0.447131,0.123829,43.509463,0.015596,0.011535,0.022079,0.01296,3.146022,0.141824,22.182535,2.578725
CMA-ES,0.069364,0.242946,0.146896,0.366648,0.068667,0.300045,0.132761,18.489378,0.079096,0.464118,0.120544,38.081258,0.021322,0.008819,0.002648,0.020199,2.987753,0.086889,34.385894,2.640198
CMA-ES,0.069608,0.285798,0.136097,2.252612,0.075964,0.377323,0.129703,23.830609,0.07804,0.487219,0.122093,37.87034,0.017027,0.010362,0.016931,-0.012111,3.023591,0.110939,27.254596,2.579836
CMA-ES,0.062549,0.201362,0.152075,3.207191,0.070797,0.393041,0.131728,23.483875,0.079595,0.407899,0.124117,41.194111,0.015426,0.011977,0.023285,0.008899,3.339696,0.122899,27.174221,2.848098
CMA-ES,0.060834,0.422064,0.15314,1.586075,0.08232,0.30042,0.13569,25.681308,0.071212,0.479602,0.129243,39.938102,0.016387,0.008866,0.014951,0.01595,3.288724,0.113466,28.984193,2.83486
CMA-ES,0.069635,0.23611,0.155807,0.903379,0.064768,0.380873,0.13094,26.93618,0.083214,0.503565,0.127582,43.547245,0.013422,0.013991,0.001778,-0.007578,2.999784,0.116818,25.679178,2.532513
