optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
PSO,0.069672,0.24673,0.153361,2.163819,0.068519,0.323618,0.132401,24.019891,0.08196,0.506127,0.126246,40.771623,0.016331,0.009848,0.00563,0.016924,3.340952,0.117455,28.44449,2.871132
PSO,0.085206,0.446645,0.151373,3.417156,0.049645,0.312706,0.12158,23.155616,0.079614,0.484583,0.120959,42.845972,0.01435,0.009686,0.01003,0.018462,3.379194,0.133999,25.218057,2.843198
PSO,0.045999,0.257082,0.150246,3.493186,0.048832,0.309381,0.136066,22.603766,0.061207,0.573989,0.113153,43.342706,0.014835,0.009234,0.000109,0.009968,3.206494,0.124659,25.722134,2.707858
PSO,0.083559,0.471159,0.147981,3.924127,0.048352,0.306599,0.119026,21.003454,0.068979,0.392519,0.117511,38.898749,0.019864,0.009808,0.020106,0.019127,3.219751,0.126978,25.356694,2.711838
PSO,0.08113,0.222067,0.145913,3.299718,0.064756,0.341293,0.129318,25.34358,0.076435,0.504604,0.123107,37.330815,0.016057,0.010194,0.003816,-0.010941,3.226644,0.119659,26.965421,2.74801
PSO,0.067931,0.21431,0.136497,1.516273,0.046419,0.453477,0.127426,24.369423,0.074595,0.521388,0.111665,39.342458,0.016081,0.012382,0.022311,0.009573,3.175948,0.10927,29.065186,2.738869
PSO,0.067931,0.21431,0.136497,1.516273,0.046419,0.453477,0.127426,24.369423,0.074595,0.521388,0.111665,39.342458,0.016081,0.012382,0.022311,0.009573,3.175948,0.10927,29.065186,2.738869
PSO,0.063406,0.200162,0.149958,2.231422,0.063535,0.3636,0.106709,22.050363,0.055076,0.529792,0.121818,37.435994,0.0109,0.009953,0.011711,0.010456,3.073596,0.09943,30.912209,2.675876
PSO,0.069672,0.24673,0.153361,2.163819,0.068519,0.323618,0.132401,24.019891,0.08196,0.506127,0.126246,40.771623,0.016331,0.009848,0.00563,0.016924,3.340952,0.117455,28.44449,2.871132
PSO,0.063676,0.200265,0.145687,2.483303,0.079993,0.358278,0.121302,22.761057,0.066901,0.534885,0.129585,39.254878,0.015635,0.010061,0.014829,0.012841,3.241834,0.112873,28.72114,2.790343
PSO,0.060308,0.264347,0.152689,2.150436,0.050516,0.300061,0.117669,21.412551,0.082638,0.466208,0.128346,41.887463,0.017509,0.00918,-0.009427,0.021684,3.19067,0.116231,27.451004,2.725744
PSO,0.077369,0.385505,0.131498,1.708126,0.048458,0.303635,0.135728,26.663575,0.086396,0.461685,0.113493,37.482068,0.015647,0.009258,-0.008569,-0.002887,3.125744,0.119817,26.087579,2.646475
PSO,0.068863,0.232103,0.149592,1.516707,0.063679,0.460605,0.139326,23.010561,0.088969,0.508928,0.119519,43.227906,0.017699,0.012919,0.015009,0.002083,3.076034,0.108987,28.223962,2.640087
PSO,0.066347,0.206579,0.151364,2.289246,0.066547,0.405905,0.13199,24.742632,0.083136,0.514709,0.12486,43.273881,0.016424,0.011449,0.015271,0.011155,3.410607,0.124651,27.361225,2.912002
PSO,0.073114,0.353578,0.154212,2.260692,0.071395,0.315838,0.131222,23.128414,0.079663,0.518607,0.128248,42.367402,0.016049,0.009568,-0.010652,0.017853,3.335346,0.123283,27.054457,2.842216
PSO,0.063661,0.201446,0.147132,3.007463,0.062843,0.300487,0.132102,23.732824,0.076098,0.482782,0.124428,39.912207,0.015471,0.00895,0.017728,0.016391,3.288989,0.120072,27.391885,2.808702
PSO,0.064994,0.203308,0.152052,2.401222,0.0681,0.405173,0.132382,23.992058,0.083532,0.507921,0.125037,43.20852,0.0161,0.011688,0.009541,0.004092,3.38682,0.122291,27.69475,2.897656
PSO,0.05331,0.369775,0.135433,3.481159,0.046204,0.302049,0.126232,24.600411,0.07154,0.455814,0.101946,42.793498,0.016235,0.009049,0.01076,0.015293,3.268598,0.141204,23.148009,2.703781
