optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
CMA-ES,0.071163,0.21226,0.122047,4.17987,0.077631,0.355542,0.126425,20.464299,0.07561,0.5588,0.102192,44.503367,0.009787,0.016651,0.023309,0.014964,3.09015,0.159074,19.425858,2.453854
CMA-ES,0.089038,0.328513,0.123393,1.423892,0.078607,0.384944,0.100767,27.376529,0.089583,0.494013,0.101422,41.604728,0.010588,0.024147,0.024063,0.02602,3.32313,0.130295,25.504611,2.801949
CMA-ES,0.084682,0.310818,0.120439,1.511627,0.082197,0.414544,0.130176,16.501914,0.089507,0.598724,0.109314,41.356253,0.024476,0.017182,0.00712,0.018821,3.003952,0.106738,28.143346,2.577002
CMA-ES,0.088847,0.22938,0.125719,3.746476,0.064203,0.305675,0.132292,25.395128,0.084907,0.431692,0.113218,35.316517,0.009827,0.010316,0.002936,0.022987,3.162983,0.133432,23.704868,2.629256
CMA-ES,0.088922,0.214591,0.133209,4.739055,0.079518,0.371955,0.137952,21.928656,0.087414,0.324417,0.107975,37.818326,0.009352,0.008767,0.008956,-0.005655,3.232831,0.134667,24.006069,2.694162
CMA-ES,0.081128,0.320157,0.120944,2.913998,0.089,0.417923,0.123284,20.451677,0.082136,0.591308,0.10873,44.671971,0.01022,0.008728,0.023135,-0.005439,3.07615,0.126553,24.30722,2.569938
CMA-ES,0.087129,0.201298,0.125083,1.017769,0.081419,0.408656,0.12213,20.305189,0.082077,0.466783,0.103034,39.212902,0.02155,0.008805,-0.006305,0.025895,3.173511,0.10284,30.85874,2.762151
CMA-ES,0.088432,0.273568,0.137271,1.644062,0.089832,0.300022,0.127282,22.931513,0.075585,0.563252,0.11129,44.99627,0.025228,0.012997,0.002392,0.009331,3.303893,0.126196,26.180602,2.799108
CMA-ES,0.089987,0.294851,0.122549,1.337735,0.082073,0.355521,0.127185,22.681329,0.087561,0.59563,0.11029,36.214609,0.015861,0.011278,-0.012946,0.018474,3.162501,0.109274,28.940954,2.725404
CMA-ES,0.069757,0.240098,0.142276,2.73285,0.088801,0.414585,0.116631,26.642164,0.089994,0.479685,0.103291,39.934497,0.009307,0.015331,0.002039,0.014073,3.312938,0.13223,25.054339,2.784018
CMA-ES,0.085687,0.210861,0.125535,1.252232,0.059546,0.325004,0.13005,27.462888,0.082732,0.59715,0.102526,43.075412,0.016275,0.010696,-0.005567,0.025817,3.306744,0.132345,24.985846,2.777365
CMA-ES,0.059875,0.20961,0.120839,3.116181,0.070295,0.303656,0.102909,23.274101,0.082577,0.502149,0.100622,38.260436,0.019639,0.020292,0.012765,0.025025,3.081924,0.14574,21.146787,2.498966
CMA-ES,0.080713,0.410673,0.1204,1.668317,0.089995,0.376211,0.120898,27.303715,0.082642,0.450553,0.10297,43.69151,0.010552,0.008835,0.018641,0.013038,3.109512,0.145168,21.420055,2.528839
CMA-ES,0.086121,0.220448,0.134214,0.274474,0.078631,0.310016,0.101338,23.670612,0.079767,0.406482,0.105535,32.651044,0.014299,0.02273,-0.002087,0.01265,2.954836,0.09081,32.538844,2.591598
CMA-ES,0.080286,0.231139,0.123397,2.021323,0.069898,0.360493,0.108769,20.514701,0.087692,0.425325,0.100073,40.760442,0.011879,0.022329,0.023538,0.023536,3.02997,0.106282,28.508722,2.604842
CMA-ES,0.078104,0.287996,0.122119,1.830903,0.048948,0.410849,0.119605,25.120234,0.079995,0.519259,0.100001,39.344579,0.025432,0.013256,0.012045,0.018259,3.187503,0.120907,26.36322,2.703874
CMA-ES,0.082765,0.437781,0.13132,0.139324,0.087835,0.409461,0.100136,25.64737,0.085132,0.59994,0.104447,41.192446,0.015854,0.01431,0.025377,0.013907,3.23468,0.116499,27.765745,2.768684
CMA-ES,0.084655,0.202909,0.120381,0.088392,0.083349,0.400748,0.103895,25.150287,0.069169,0.596364,0.115788,42.117178,0.012832,0.016935,0.007792,0.01691,3.211304,0.106442,30.169621,2.785537
CMA-ES,0.07602,0.242562,0.12,0.00266,0.081223,0.300321,0.106345,23.223725,0.082888,0.541628,0.100388,36.265506,0.018088,0.009031,0.015477,0.013104,3.042034,0.094863,32.067611,2.662582
CMA-ES,0.078218,0.322034,0.123439,0.160473,0.07915,0.486516,0.121501,23.417637,0.078191,0.498455,0.100364,36.584124,0.017748,0.01083,0.016224,0.017923,3.032798,0.097463,31.117405,2.642946
CMA-ES,0.081912,0.332082,0.121225,0.103702,0.079348,0.314996,0.107497,25.904276,0.080831,0.514188,0.109552,41.489488,0.020178,0.0218,0.005721,0.022877,3.187415,0.117761,27.06678,2.71637
CMA-ES,0.086983,0.243462,0.137255,0.813904,0.085545,0.302564,0.122612,26.239857,0.072095,0.599943,0.11885,41.66416,0.017392,0.021548,0.014729,0.022556,3.322703,0.114167,29.10385,2.866035
CMA-ES,0.066052,0.496969,0.120765,0.531138,0.074084,0.469782,0.102255,26.520958,0.067907,0.599992,0.100002,37.923824,0.010484,0.018905,0.018743,0.014921,2.972321,0.123672,24.033817,2.477631
CMA-ES,0.082017,0.30644,0.124368,0.23792,0.089563,0.490635,0.10796,27.197888,0.089897,0.527946,0.100963,38.471339,0.015305,0.0261,0.014323,0.018856,3.174585,0.123412,25.723383,2.680935
CMA-ES,0.08993,0.334716,0.126118,3.036109,0.084755,0.430832,0.100027,17.635633,0.073253,0.438053,0.111549,38.335303,0.009342,0.014287,0.023097,0.006579,3.120438,0.110232,28.30803,2.679512
CMA-ES,0.089824,0.200513,0.120266,0.071075,0.089961,0.415156,0.121816,25.394619,0.079763,0.566163,0.103974,44.477739,0.009818,0.025694,0.010079,0.020597,3.244995,0.119052,27.257041,2.768789
CMA-ES,0.076647,0.229365,0.13223,0.081101,0.089615,0.427203,0.101601,26.977556,0.087239,0.580847,0.111147,39.012143,0.015709,0.013951,-0.001019,0.026056,2.302144,0.152954,15.051261,1.69033
CMA-ES,0.087239,0.384418,0.121844,0.659943,0.084302,0.391352,0.10154,23.768013,0.086718,0.594829,0.123674,39.915759,0.01798,0.02187,0.014858,0.021631,3.192441,0.116387,27.429621,2.726895
CMA-ES,0.079392,0.244315,0.127613,0.072402,0.083487,0.437487,0.112474,25.797114,0.084419,0.598856,0.117806,43.471168,0.009298,0.015242,0.016397,0.005543,3.338064,0.11142,29.959272,2.892384
CMA-ES,0.080309,0.279451,0.120145,0.000882,0.083011,0.442889,0.111281,26.993766,0.089315,0.55782,0.124928,44.465533,0.01207,0.024979,0.026083,0.022407,3.167434,0.122494,25.857907,2.677459
CMA-ES,0.078594,0.222837,0.126309,1.268438,0.08701,0.304352,0.129772,14.867782,0.081766,0.576999,0.11299,40.781901,0.013997,0.0261,0.018374,0.019428,2.657496,0.095822,27.733554,2.274207
CMA-ES,0.083538,0.24463,0.134563,0.069707,0.089754,0.559487,0.112521,19.187664,0.089965,0.599914,0.129765,40.935158,0.008932,0.022605,0.015035,0.019328,3.069885,0.095949,31.99504,2.68609
CMA-ES,0.072136,0.231729,0.120044,0.596797,0.072932,0.406104,0.139685,25.929854,0.084982,0.577239,0.112562,37.981278,0.01188,0.017919,0.025897,0.012773,3.160712,0.111036,28.465567,2.716567
CMA-ES,0.088751,0.306508,0.131048,0.747806,0.089999,0.499426,0.102642,27.25327,0.085091,0.505097,0.11471,34.634632,0.008714,0.020006,0.015223,0.021786,3.111434,0.104888,29.664319,2.691881
CMA-ES,0.080388,0.321427,0.120017,0.621604,0.064693,0.302861,0.117493,24.896901,0.07011,0.569788,0.11148,44.511061,0.01863,0.015369,0.025864,0.017802,3.201803,0.113041,28.324162,2.749637
CMA-ES,0.08075,0.238965,0.122047,0.001486,0.08886,0.330877,0.116392,27.436334,0.071108,0.548464,0.10775,44.411945,0.016873,0.017995,0.023483,0.019006,3.265408,0.119692,27.281711,2.786639
CMA-ES,0.065136,0.233511,0.128551,0.503476,0.089097,0.302642,0.122408,23.487864,0.089765,0.495319,0.129973,40.722355,0.010386,0.025513,0.002595,0.025958,3.134609,0.105948,29.586375,2.710818
CMA-ES,0.075408,0.262273,0.129007,3.129488,0.08967,0.488411,0.133629,23.290316,0.064187,0.578576,0.115524,42.929835,0.013074,0.020929,0.0261,0.008445,3.240709,0.143547,22.57601,2.666523
CMA-ES,0.086508,0.31647,0.135656,1.431485,0.07111,0.411027,0.114628,23.004249,0.079019,0.568175,0.11453,38.727841,0.014628,0.023997,0.015118,0.018243,3.153185,0.103171,30.56274,2.740501
CMA-ES,0.082864,0.313998,0.143581,0.313051,0.068325,0.339579,0.106733,26.255893,0.069722,0.574402,0.101407,41.807573,0.01053,0.024354,0.013447,0.013177,3.165665,0.109144,29.00446,2.729089
CMA-ES,0.067171,0.329865,0.121686,1.727603,0.086554,0.315052,0.126727,23.572874,0.077189,0.479651,0.106825,39.533474,0.021684,0.015801,0.021607,0.022894,3.195274,0.113525,28.145995,2.741174
CMA-ES,0.080667,0.325814,0.120032,0.587568,0.089719,0.340975,0.139967,27.494978,0.083073,0.535842,0.116525,44.958434,0.01012,0.0261,0.01118,0.013339,3.270607,0.129342,25.286567,2.75324
CMA-ES,0.073602,0.295629,0.120448,1.07365,0.073726,0.381833,0.129724,21.709064,0.062495,0.571721,0.105447,42.960983,0.014468,0.024357,0.013866,0.009069,2.983843,0.112626,26.493309,2.533338
CMA-ES,0.089153,0.296279,0.135148,0.520088,0.056317,0.3167,0.125994,14.011478,0.089999,0.397931,0.110523,42.940556,0.017939,0.023765,0.012974,0.010177,2.354109,0.098103,23.996331,1.961698
CMA-ES,0.073274,0.235301,0.121841,1.201837,0.07282,0.576565,0.117347,24.780246,0.084592,0.599342,0.112176,41.6149,0.017592,0.021535,0.022595,0.008721,3.173393,0.124414,25.506731,2.675737
CMA-ES,0.089389,0.30117,0.141702,4.056256,0.071065,0.370656,0.134027,16.069272,0.089504,0.517871,0.11372,41.891934,0.012499,0.019097,0.020026,0.02533,2.96827,0.122256,24.27912,2.479245
CMA-ES,0.085015,0.253431,0.121296,2.759751,0.087078,0.515962,0.123645,23.710479,0.062829,0.597888,0.120841,43.073415,0.01448,0.02203,0.003862,0.001422,3.168486,0.12843,24.670876,2.654765
CMA-ES,0.085179,0.260886,0.120601,1.790641,0.089962,0.303941,0.138048,17.156902,0.063594,0.467483,0.109342,43.411308,0.013467,0.020855,0.003591,0.007116,2.667097,0.112126,23.786616,2.218593
CMA-ES,0.080512,0.355844,0.129618,0.229653,0.083073,0.342584,0.12534,24.958197,0.058916,0.42893,0.123451,40.123265,0.012427,0.020444,0.003881,0.012282,3.180129,0.10857,29.29111,2.74585
CMA-ES,0.071119,0.328842,0.120269,1.797993,0.089975,0.30029,0.101914,10.493034,0.063758,0.599691,0.110273,39.916947,0.019662,0.019723,0.024452,0.01131,2.448689,0.093186,26.277307,2.075943
CMA-ES,0.085447,0.348866,0.122572,0.370207,0.078127,0.364874,0.107709,27.489362,0.079409,0.500036,0.100103,38.92969,0.017547,0.022231,0.019462,0.02109,3.211553,0.112535,28.538326,2.761414
CMA-ES,0.086266,0.28096,0.128078,0.891062,0.08816,0.321018,0.126679,23.120184,0.072897,0.599702,0.10221,43.988791,0.018309,0.024314,0.013238,0.014752,3.00742,0.111866,26.88424,2.559958
CMA-ES,0.079713,0.23789,0.128392,0.218736,0.084651,0.410654,0.129554,18.653122,0.072494,0.410329,0.10005,39.301516,0.013971,0.026083,0.016899,0.019835,2.817076,0.086,32.756695,2.473076
CMA-ES,0.079067,0.24689,0.155499,1.564981,0.079063,0.38186,0.123605,23.497769,0.086581,0.535129,0.105774,36.343869,0.015415,0.026097,0.017873,0.004108,3.20381,0.10294,31.123032,2.79205
CMA-ES,0.073789,0.20005,0.122833,0.174955,0.077504,0.357972,0.124336,17.438546,0.058575,0.544847,0.129927,44.879242,0.010001,0.024326,-0.005307,0.005913,2.52651,0.101496,24.892829,2.120528
CMA-ES,0.08438,0.285616,0.120443,1.671177,0.081232,0.307173,0.103078,25.116142,0.073792,0.49317,0.108204,43.432032,0.02153,0.022978,0.019769,0.007328,3.171828,0.137102,23.134827,2.623421
CMA-ES,0.087435,0.331003,0.126787,0.69001,0.072371,0.363192,0.113848,26.285716,0.064138,0.543836,0.105235,32.628506,0.013334,0.016893,0.016733,0.022953,2.992796,0.093207,32.109245,2.619969
CMA-ES,0.08514,0.258976,0.123961,1.061256,0.078438,0.427126,0.120521,26.850664,0.074398,0.455135,0.113181,38.348155,0.012037,0.022571,0.025945,0.022,3.258397,0.10745,30.324701,2.828596
CMA-ES,0.081105,0.310956,0.133996,2.592446,0.08085,0.300596,0.101853,26.808773,0.081872,0.6,0.114047,39.538376,0.009887,0.022657,0.014422,0.022809,3.335276,0.128466,25.962279,2.821411
CMA-ES,0.048128,0.26144,0.136623,1.624723,0.066003,0.35786,0.124702,24.921317,0.086121,0.432046,0.125682,43.341127,0.014718,0.013721,0.012351,0.012522,3.283804,0.124415,26.393998,2.786145
CMA-ES,0.053812,0.327129,0.126129,0.401268,0.086229,0.306648,0.107195,24.027299,0.058194,0.454106,0.101735,28.16251,0.017938,0.018917,0.020006,0.013131,2.63462,0.083692,31.479937,2.299852
CMA-ES,0.076675,0.266925,0.124957,3.045838,0.048971,0.495088,0.114645,23.897043,0.048065,0.471162,0.107241,35.944766,0.008864,0.019321,0.02561,0.025862,2.956766,0.12027,24.584416,2.475687
CMA-ES,0.056085,0.284758,0.120014,1.694488,0.089768,0.511479,0.108928,23.179593,0.089075,0.47506,0.118266,38.882152,0.009066,0.01934,0.02201,0.02507,2.979608,0.132864,22.426073,2.448154
CMA-ES,0.064915,0.265525,0.123487,1.183167,0.083958,0.374335,0.112288,22.345269,0.081411,0.506443,0.103021,37.90491,0.018374,0.018499,0.014279,0.015673,3.090761,0.112512,27.470614,2.640715
CMA-ES,0.075392,0.202994,0.120008,0.033417,0.084592,0.442719,0.126632,24.612379,0.048589,0.507541,0.100687,33.95791,0.019814,0.025166,0.019593,0.009239,2.886362,0.091335,31.601789,2.52102
CMA-ES,0.076447,0.333484,0.134565,1.553151,0.086983,0.371637,0.138592,27.498459,0.079588,0.361866,0.107925,36.158051,0.020214,0.018595,0.009341,0.024991,3.196108,0.118997,26.858668,2.720119
CMA-ES,0.057347,0.212471,0.125541,0.66629,0.084117,0.42548,0.107551,27.39963,0.047915,0.591178,0.100805,36.334706,0.011101,0.022699,0.021673,0.022686,2.967534,0.107295,27.657666,2.538353
CMA-ES,0.079061,0.259062,0.122767,0.006042,0.088851,0.373592,0.128374,26.870532,0.088176,0.49517,0.111831,39.324475,0.008964,0.02417,0.016491,0.022682,3.201012,0.118605,26.988747,2.726591
CMA-ES,0.085831,0.20109,0.129633,0.078801,0.088886,0.440602,0.109312,25.292094,0.060027,0.428205,0.108028,42.821613,0.008726,0.02592,0.025735,0.025224,3.138685,0.105566,29.731853,2.716419
CMA-ES,0.082324,0.282224,0.133836,3.947012,0.083937,0.387477,0.120093,24.503829,0.058057,0.570801,0.120664,35.250502,0.008914,0.01855,0.025736,0.024531,3.179425,0.120642,26.354147,2.696855
CMA-ES,0.088105,0.202521,0.122514,1.859621,0.080667,0.355144,0.129861,19.990147,0.067117,0.547882,0.111634,40.104735,0.014231,0.02242,0.016854,0.011398,2.99881,0.109351,27.42364,2.561405
CMA-ES,0.065669,0.254011,0.131701,0.270773,0.089946,0.40371,0.138195,24.352597,0.072575,0.304596,0.101081,35.740833,0.014555,0.025969,0.004417,0.008558,3.016692,0.098661,30.576374,2.622048
CMA-ES,0.057805,0.32706,0.143157,0.062,0.085568,0.443095,0.1395,21.109373,0.089858,0.505345,0.106427,43.03623,0.009192,0.026076,0.001185,0.020004,2.881951,0.102311,28.168491,2.472707
CMA-ES,0.068418,0.281577,0.123129,1.018679,0.087432,0.381804,0.113173,26.955317,0.089765,0.419002,0.115512,35.633004,0.016849,0.025515,0.025723,0.020422,3.058083,0.12182,25.10332,2.570804
CMA-ES,0.057505,0.323872,0.121887,1.650787,0.089268,0.421884,0.139986,27.177892,0.089567,0.460729,0.121496,34.546606,0.00975,0.020276,0.005262,0.020911,2.946496,0.137861,21.372874,2.39505
CMA-ES,0.08861,0.322803,0.123858,0.264236,0.079682,0.364106,0.132456,24.623095,0.076157,0.403241,0.116421,35.470537,0.012604,0.020889,0.026099,0.020376,3.068485,0.095836,32.018242,2.685143
CMA-ES,0.082524,0.208215,0.124965,2.543378,0.082781,0.40279,0.139999,21.635577,0.089897,0.539401,0.118033,34.581666,0.009579,0.025641,0.011218,0.01077,3.121664,0.115377,27.056181,2.660156
CMA-ES,0.077093,0.393779,0.13099,0.811347,0.089693,0.353914,0.138332,27.020764,0.075816,0.406312,0.105049,37.15144,0.010355,0.025482,0.02577,0.025993,3.189741,0.111952,28.492153,2.741935
CMA-ES,0.066508,0.200214,0.120001,1.022049,0.081153,0.319466,0.130438,26.246891,0.077945,0.419359,0.104719,44.806049,0.012457,0.023209,0.015504,0.02349,3.160452,0.124831,25.317787,2.661127
CMA-ES,0.08938,0.372812,0.123932,1.140267,0.087621,0.455149,0.11563,18.589054,0.085248,0.334433,0.120267,36.923884,0.013951,0.018206,0.023119,0.018491,3.040854,0.099444,30.57844,2.643076
CMA-ES,0.060739,0.256809,0.130496,0.002816,0.087741,0.438238,0.105666,27.067829,0.0725,0.409712,0.107066,42.323145,0.010645,0.024374,0.020865,0.009251,3.082538,0.124013,24.856509,2.586484
CMA-ES,0.072561,0.242347,0.122967,0.13713,0.089521,0.452621,0.12473,16.086581,0.076151,0.55615,0.10936,41.78201,0.008916,0.026099,0.02332,0.022598,2.635363,0.09178,28.713911,2.268243
CMA-ES,0.063772,0.276758,0.139658,3.157177,0.050041,0.397119,0.130255,24.494073,0.050251,0.535446,0.116265,33.598105,0.021291,0.011858,0.025631,0.014671,3.016998,0.109726,27.495855,2.578095
CMA-ES,0.068986,0.298359,0.144485,4.635211,0.052828,0.399647,0.133697,24.544892,0.04687,0.379409,0.108335,34.672411,0.019719,0.008932,0.003951,0.014072,3.126508,0.126043,24.805017,2.622334
CMA-ES,0.064491,0.282614,0.139209,2.347636,0.040124,0.301314,0.136161,22.226019,0.040043,0.410608,0.109093,41.874261,0.020451,0.009427,0.005287,-0.014642,2.307729,0.120544,19.144225,1.825551
CMA-ES,0.07172,0.414053,0.155384,2.705802,0.049555,0.392302,0.13999,21.484465,0.042862,0.333258,0.104237,40.982421,0.02315,0.008888,0.01181,0.004624,2.932134,0.107923,27.168764,2.500442
CMA-ES,0.089979,0.410715,0.140844,1.376167,0.056445,0.300007,0.138461,13.468443,0.051767,0.393783,0.128977,38.438871,0.022756,0.010614,0.013193,0.005774,2.713472,0.082847,32.7529,2.382085
CMA-ES,0.075055,0.343405,0.152879,2.748995,0.051238,0.313556,0.132387,16.954196,0.040257,0.533004,0.101823,44.916133,0.025867,0.009193,-0.002255,0.006345,2.624354,0.112567,23.313642,2.174085
CMA-ES,0.070299,0.367942,0.157247,2.097453,0.08432,0.37923,0.129696,27.068686,0.040144,0.474283,0.126051,42.699664,0.017551,0.010902,-0.004708,0.006562,3.255752,0.128029,25.429724,2.743635
CMA-ES,0.051703,0.261711,0.158179,0.951683,0.085761,0.433382,0.12339,26.687267,0.041699,0.363894,0.107369,44.263273,0.023416,0.009657,0.015081,-0.004563,2.034978,0.157961,12.882826,1.403136
CMA-ES,0.055189,0.24736,0.139827,1.77907,0.075519,0.416687,0.128326,27.485534,0.059137,0.477581,0.124622,35.276998,0.02381,0.015245,-0.006708,0.013532,2.309313,0.144287,16.004974,1.732164
