optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
GA,0.081468,0.378892,0.121118,1.012912,0.087467,0.547192,0.133993,24.429086,0.069421,0.38805,0.108861,31.94713,0.024911,0.021538,-0.004334,0.01871,2.884424,0.102738,28.075501,2.473472
GA,0.063196,0.230671,0.128653,0.592565,0.074012,0.592361,0.135869,26.232277,0.081418,0.498465,0.108057,33.733152,0.023394,0.02255,-0.001892,-0.009178,2.854047,0.110162,25.907783,2.4134
GA,0.076079,0.250564,0.12,1.330867,0.067707,0.422458,0.123829,23.198252,0.077864,0.533824,0.112535,38.807677,0.012958,0.016513,0.007023,0.013795,3.161112,0.115314,27.413098,2.699856
GA,0.048166,0.313121,0.126484,2.49746,0.077628,0.483417,0.139159,20.2996,0.06543,0.529634,0.103707,37.234177,0.014235,0.012278,-0.011379,-0.005423,2.744834,0.114423,23.988523,2.287143
GA,0.066087,0.353403,0.135516,0.440532,0.073677,0.474819,0.129475,22.721948,0.073658,0.529653,0.122223,40.821513,0.010353,0.019164,-0.00037,-0.002784,2.973106,0.103355,28.765979,2.559686
GA,0.065308,0.445964,0.132125,3.891244,0.068585,0.530503,0.138855,25.977903,0.086729,0.431867,0.111469,39.14524,0.01428,0.018343,0.00403,0.015338,3.238919,0.152951,21.176241,2.627117
GA,0.075686,0.20018,0.124779,3.172659,0.086445,0.539003,0.119415,19.205872,0.046151,0.358799,0.126297,29.041961,0.012871,0.024097,0.000743,-0.012077,2.747459,0.090963,30.204152,2.383608
GA,0.070353,0.232008,0.128212,3.68601,0.060426,0.321211,0.10652,20.506045,0.070742,0.324424,0.119354,32.02684,0.021229,0.017855,-0.003788,-0.014327,2.592417,0.113889,22.762598,2.136859
GA,0.067196,0.326175,0.132213,1.47842,0.061318,0.349812,0.132264,25.537135,0.050416,0.517536,0.129999,36.524193,0.009746,0.019994,-0.007552,-0.01166,2.857926,0.110747,25.805815,2.414937
GA,0.069752,0.250536,0.135219,1.057364,0.080664,0.44602,0.136671,25.94055,0.081187,0.480947,0.121538,35.215209,0.014148,0.016983,0.004112,-0.004759,3.051879,0.109041,27.988384,2.615715
GA,0.045614,0.314396,0.126031,0.919926,0.081904,0.459396,0.124568,26.08678,0.084982,0.425583,0.126409,41.961688,0.012358,0.022617,0.01059,-0.003494,2.878705,0.124066,23.203098,2.382443
GA,0.049967,0.308545,0.133659,2.266349,0.053588,0.442489,0.104646,21.650593,0.079413,0.599996,0.116253,37.598376,0.021002,0.01928,0.012764,0.016322,3.026218,0.115267,26.253952,2.56515
GA,0.05974,0.380729,0.13245,2.45449,0.069667,0.37547,0.121051,23.917457,0.083301,0.537832,0.107138,40.094846,0.023584,0.016218,0.017746,0.022061,3.206262,0.129614,24.736941,2.687805
GA,0.060059,0.347054,0.124615,1.962917,0.051287,0.6,0.13318,25.377071,0.059494,0.539074,0.107866,42.092029,0.019697,0.02293,0.012408,0.016439,3.066523,0.133572,22.957766,2.532234
GA,0.043394,0.268766,0.12,0.425067,0.083471,0.565101,0.127646,19.22117,0.078924,0.407648,0.127768,37.047821,0.01836,0.015701,-0.01257,0.001685,2.776975,0.10363,26.7969,2.362453
GA,0.080532,0.425779,0.127963,0.351487,0.069513,0.526037,0.127591,22.473102,0.08316,0.418045,0.108773,41.359741,0.02587,0.017596,-0.006488,0.011775,2.998807,0.116984,25.634371,2.530871
GA,0.075473,0.346735,0.13438,2.02426,0.074113,0.497294,0.125553,24.860972,0.062329,0.431747,0.119879,37.50485,0.011215,0.017616,0.000217,-0.01295,2.982181,0.116172,25.670353,2.517493
GA,0.053818,0.20059,0.139728,4.070685,0.066177,0.397272,0.13195,17.492817,0.081205,0.478608,0.117184,38.937004,0.02177,0.015876,-0.004603,-0.000599,2.897519,0.119028,24.343102,2.421406
GA,0.052348,0.383257,0.12,1.045592,0.046021,0.525656,0.12944,23.21607,0.076956,0.468687,0.103635,35.671296,0.023233,0.011486,0.008791,0.012566,2.894843,0.111418,25.981865,2.449172
GA,0.059023,0.334227,0.126423,1.439571,0.072352,0.381436,0.134873,19.80107,0.09,0.531139,0.107771,41.682854,0.018494,0.014643,0.002511,0.013176,3.065216,0.114156,26.85104,2.60859
GA,0.057266,0.294633,0.124934,2.763067,0.06969,0.408052,0.14,20.368549,0.062377,0.529804,0.11128,38.534005,0.019904,0.0087,-0.003318,-0.006833,2.730711,0.114921,23.761564,2.271026
GA,0.058274,0.280845,0.147237,1.427534,0.062243,0.536816,0.112012,24.706186,0.071894,0.413682,0.103775,41.573435,0.017093,0.014396,0.010417,-0.005432,2.832078,0.117143,24.176264,2.363507
GA,0.06359,0.406694,0.124744,1.945075,0.066872,0.469555,0.135102,21.501159,0.050534,0.335469,0.110534,34.874186,0.018857,0.014367,0.017721,0.014297,2.892314,0.10626,27.219152,2.467273
