optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
LHS,0.075852,0.481781,0.127809,1.252522,0.083325,0.577011,0.112682,18.93126,0.056407,0.357773,0.111231,34.560448,0.011059,0.024974,-0.004276,0.002247,2.825951,0.094416,29.930852,2.448287
LHS,0.040491,0.201042,0.138585,3.87469,0.087954,0.573817,0.136678,19.368099,0.089724,0.459024,0.121185,44.168314,0.026093,0.013168,-0.004668,-0.00055,2.867158,0.136626,20.985489,2.320655
LHS,0.080441,0.354276,0.128977,3.696101,0.089319,0.329103,0.131116,18.658039,0.054312,0.448582,0.123533,35.996669,0.011836,0.016557,-0.003133,0.018064,3.079805,0.119263,25.823745,2.602755
LHS,0.072565,0.271657,0.159073,3.322547,0.040203,0.502848,0.131629,20.161024,0.088282,0.481689,0.104893,43.900596,0.013291,0.0168,0.024725,0.009081,3.023505,0.119644,25.270814,2.544928
LHS,0.040799,0.229456,0.147718,2.537979,0.079105,0.485384,0.122411,13.804933,0.06327,0.427765,0.117875,35.502796,0.015836,0.022896,0.025036,-0.012438,2.516729,0.088679,28.38025,2.162013
LHS,0.047605,0.242464,0.155099,4.17931,0.071007,0.547754,0.110568,25.546956,0.08113,0.581908,0.120089,36.276427,0.020967,0.009122,-0.007449,-0.008817,1.780335,0.239146,7.444559,0.823752
LHS,0.054497,0.360214,0.121456,0.983828,0.054736,0.367187,0.132845,21.297961,0.082966,0.365118,0.108388,43.165224,0.025998,0.013202,-0.003071,0.003564,2.710331,0.118213,22.927544,2.237479
LHS,0.047898,0.255357,0.13345,3.881144,0.057285,0.597504,0.105801,18.501316,0.073863,0.329569,0.110254,37.235736,0.015239,0.022973,0.021284,0.007849,3.002004,0.122368,24.532654,2.512533
LHS,0.076834,0.467507,0.157273,3.043337,0.082311,0.334344,0.11383,11.033676,0.050375,0.301679,0.10368,41.886478,0.010112,0.010952,0.002116,0.021566,2.518607,0.104305,24.146556,2.101387
LHS,0.058262,0.337278,0.128185,2.793667,0.043787,0.455492,0.110913,27.378193,0.056029,0.539362,0.117647,40.885921,0.020486,0.01476,0.009807,0.012663,3.093101,0.144781,21.363965,2.513976
LHS,0.084949,0.449277,0.159437,1.949401,0.074266,0.487053,0.113132,23.353132,0.044925,0.418722,0.106693,36.564908,0.024109,0.025006,0.009345,-0.003352,2.772716,0.108573,25.537755,2.338424
LHS,0.054292,0.274851,0.142435,2.805335,0.060232,0.48048,0.113577,12.254268,0.072498,0.464279,0.101718,39.207178,0.012737,0.012475,0.001323,0.010406,2.724889,0.092228,29.545264,2.355979
