optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
PSO,0.086314,0.247031,0.120313,2.696468,0.084503,0.361939,0.124656,24.501271,0.080385,0.489892,0.103847,40.364345,0.016202,0.011294,0.009522,0.009466,3.379099,0.125665,26.889658,2.876438
PSO,0.078585,0.233565,0.148422,2.287732,0.041969,0.546911,0.112753,25.34188,0.06143,0.566593,0.118391,42.709994,0.010581,0.013512,0.001229,0.004266,3.291173,0.121516,27.084233,2.805109
PSO,0.077757,0.317024,0.131015,2.525133,0.072065,0.513108,0.135763,23.723978,0.088417,0.593496,0.107814,43.646402,0.013226,0.02136,0.016257,0.020404,3.308028,0.132802,24.909478,2.77682
PSO,0.071536,0.278724,0.126545,1.419075,0.056997,0.575972,0.121893,22.964987,0.077062,0.380289,0.107112,39.346765,0.019327,0.009559,0.015464,-0.002706,3.102296,0.108653,28.552318,2.667684
PSO,0.082043,0.262709,0.132908,1.608498,0.056371,0.53727,0.108264,22.228143,0.078929,0.562166,0.12319,36.070877,0.021903,0.01179,0.012147,0.001878,3.071704,0.101002,30.412349,2.667696
PSO,0.053924,0.3216,0.147982,2.756047,0.051729,0.52543,0.112737,24.484088,0.071398,0.518578,0.11883,43.978132,0.013074,0.017497,-0.003614,0.006221,3.1692,0.126716,25.010189,2.662334
PSO,0.059899,0.352852,0.127671,0.382044,0.077785,0.495601,0.122635,25.920668,0.07154,0.522217,0.126562,43.567081,0.010143,0.019178,0.001483,0.004044,3.156691,0.128511,24.563534,2.642646
PSO,0.059702,0.232789,0.121363,2.097149,0.054809,0.32588,0.131394,21.185522,0.06451,0.446684,0.114674,36.937475,0.017648,0.015828,0.005562,0.020606,3.047215,0.103905,29.326879,2.631595
PSO,0.086314,0.247031,0.120313,2.696468,0.084503,0.361939,0.124656,24.501271,0.080385,0.489892,0.103847,40.364345,0.016202,0.011294,0.009522,0.009466,3.379099,0.125665,26.889658,2.876438
PSO,0.08997,0.237137,0.148258,2.321022,0.078663,0.484799,0.130511,24.250202,0.078708,0.525569,0.108817,41.79595,0.012263,0.013245,0.008006,0.006056,3.422845,0.122545,27.931398,2.932666
PSO,0.083242,0.237941,0.129057,2.619812,0.0816,0.489883,0.127991,24.709851,0.077778,0.559483,0.104275,41.643519,0.015341,0.019548,0.010838,0.019721,3.347598,0.134744,24.844225,2.808624
PSO,0.083947,0.248704,0.12134,3.111943,0.088475,0.523777,0.12423,24.256773,0.081483,0.424452,0.106777,39.644891,0.016051,0.010732,0.013423,0.002428,3.259118,0.132969,24.510355,2.727242
PSO,0.084544,0.242163,0.12,2.384303,0.061569,0.320838,0.126661,23.169985,0.079439,0.485498,0.116399,38.981094,0.017958,0.011451,0.008972,0.002874,3.264494,0.115244,28.326745,2.803517
PSO,0.06369,0.269559,0.122569,2.679607,0.063513,0.371874,0.125762,24.48764,0.077322,0.517338,0.114854,40.869162,0.014335,0.014654,0.008389,0.009866,3.21443,0.138788,23.160772,2.659279
PSO,0.072453,0.246766,0.121881,3.248233,0.086871,0.35189,0.124223,25.91129,0.078495,0.510487,0.1,42.703433,0.013754,0.009766,0.005048,0.004073,3.303773,0.148402,22.262289,2.710164
PSO,0.08277,0.24609,0.120701,2.456533,0.063207,0.365293,0.125715,24.80756,0.066505,0.503285,0.105657,41.699838,0.01551,0.010351,0.009965,0.00921,3.280224,0.127253,25.777231,2.771213
PSO,0.084864,0.20008,0.16,2.915588,0.089982,0.583295,0.129431,22.778359,0.08543,0.535502,0.103909,44.997043,0.013629,0.0087,0.000216,0.0261,3.506722,0.134291,26.112887,2.969559
PSO,0.09,0.2,0.16,2.585489,0.089999,0.4707,0.13496,22.70004,0.09,0.514469,0.102805,45.0,0.015599,0.0087,0.020417,0.0261,3.544951,0.127943,27.707223,3.033178
PSO,0.082683,0.200189,0.16,2.770823,0.089887,0.598587,0.130538,21.967663,0.089951,0.6,0.104375,44.994417,0.015927,0.008763,0.000835,0.0261,3.478827,0.130879,26.580517,2.955312
PSO,0.081171,0.200024,0.16,1.871422,0.09,0.486632,0.126935,25.120317,0.089907,0.546984,0.1,44.995675,0.013796,0.00873,0.009446,0.025534,3.536383,0.127187,27.804533,3.027634
PSO,0.084574,0.2,0.16,2.453678,0.089999,0.502662,0.126837,22.480795,0.085999,0.553028,0.105399,45.0,0.01361,0.0087,0.007948,0.022146,3.492415,0.128359,27.208234,2.97898
PSO,0.087494,0.200001,0.16,2.511052,0.089996,0.450137,0.133661,23.471217,0.086344,0.49776,0.105491,45.0,0.014115,0.008701,0.012991,0.021356,3.509309,0.13185,26.615916,2.981909
PSO,0.09,0.200174,0.159998,2.45165,0.09,0.444589,0.132974,22.426237,0.089985,0.489149,0.101881,44.996681,0.015077,0.008711,0.018504,0.0261,3.523606,0.125843,27.999948,3.020233
PSO,0.09,0.200008,0.16,2.491621,0.089991,0.389257,0.131066,22.87759,0.09,0.538652,0.103368,45.0,0.014604,0.008701,0.015611,0.023015,3.554581,0.129937,27.356144,3.034832
PSO,0.088928,0.200044,0.16,2.830223,0.089995,0.503683,0.133719,22.125188,0.09,0.590734,0.105743,45.0,0.015751,0.0087,0.023122,0.026099,3.509632,0.128737,27.262075,2.994685
PSO,0.09,0.200776,0.16,2.009048,0.080965,0.42516,0.13043,24.175166,0.08527,0.525059,0.106295,44.050058,0.013383,0.009265,-0.005302,0.021835,3.468253,0.126748,27.363346,2.96126
PSO,0.085137,0.200002,0.16,2.102596,0.089999,0.410448,0.134503,22.497772,0.09,0.520436,0.1,44.999825,0.013727,0.0087,0.022428,0.025747,3.492178,0.123571,28.260478,2.997894
PSO,0.088392,0.2,0.16,2.251838,0.089607,0.45541,0.135686,22.526624,0.085682,0.463446,0.106133,44.999979,0.01583,0.00886,0.022075,0.022536,3.517508,0.124867,28.170139,3.018041
PSO,0.089997,0.2,0.16,2.540073,0.09,0.386913,0.130416,22.879213,0.09,0.510943,0.102202,44.997915,0.014349,0.008707,0.017639,0.024295,3.552451,0.128293,27.690162,3.039279
PSO,0.089997,0.2,0.16,2.213545,0.09,0.329169,0.132909,22.751801,0.09,0.531026,0.102831,44.996558,0.012938,0.008709,0.019097,0.020867,3.550968,0.127095,27.939469,3.042588
PSO,0.09,0.203947,0.16,1.67492,0.089989,0.414209,0.126095,24.285335,0.082184,0.497281,0.107132,43.821071,0.014376,0.009785,0.0261,0.011471,3.479494,0.119863,29.028989,3.000043
PSO,0.084393,0.200053,0.16,2.147997,0.09,0.451128,0.136418,21.441609,0.08995,0.512983,0.100761,45.0,0.014855,0.0087,0.018712,0.02238,3.463281,0.120853,28.656857,2.979867
PSO,0.089992,0.2,0.16,2.254405,0.089503,0.409721,0.136698,23.036423,0.086109,0.408468,0.105258,45.0,0.016627,0.008799,0.023162,0.02305,3.532316,0.12485,28.29237,3.032914
PSO,0.09,0.239647,0.148143,2.344749,0.089983,0.441322,0.139971,23.483544,0.09,0.497214,0.102101,41.160424,0.013444,0.013062,0.012751,0.007308,3.424331,0.123614,27.701739,2.929874
PSO,0.09,0.2,0.128626,2.611419,0.085505,0.470043,0.125512,25.108367,0.071094,0.520469,0.10684,40.453321,0.014309,0.01468,0.005682,0.017133,3.379217,0.126584,26.695461,2.872881
PSO,0.09,0.221003,0.121524,3.267108,0.09,0.445352,0.130461,25.160308,0.082363,0.497596,0.108753,41.398786,0.008863,0.012263,0.005393,0.006686,3.223392,0.147701,21.823806,2.632589
PSO,0.081604,0.204853,0.16,2.185439,0.082434,0.408781,0.125989,24.445325,0.074619,0.524443,0.109874,44.183163,0.01336,0.013898,0.015799,0.004505,3.487967,0.124247,28.072945,2.990981
PSO,0.09,0.2,0.129558,2.567265,0.087506,0.379222,0.124455,25.035189,0.066744,0.497182,0.1113,42.526931,0.013318,0.011213,0.007464,0.013128,3.413725,0.129865,26.286666,2.894264
PSO,0.085184,0.206415,0.16,1.966592,0.084388,0.305411,0.139999,23.797335,0.073667,0.516712,0.116783,45.0,0.013084,0.013215,0.018662,0.002294,3.329226,0.119075,27.958987,2.852925
PSO,0.09,0.2,0.16,1.83952,0.089997,0.434543,0.126161,24.41439,0.072728,0.529414,0.106387,45.0,0.012676,0.013372,0.020987,0.000754,3.473949,0.123377,28.157146,2.98044
PSO,0.076886,0.2,0.16,1.157563,0.083641,0.451348,0.125015,24.579448,0.073594,0.525898,0.1,42.705791,0.014787,0.013137,0.018232,0.002749,3.263056,0.11241,29.028052,2.813414
PSO,0.079431,0.220777,0.125345,2.14935,0.088106,0.385472,0.12655,24.468169,0.074359,0.485402,0.107117,42.640362,0.016677,0.010868,0.015272,0.009027,3.397456,0.122966,27.629254,2.905592
PSO,0.084448,0.218279,0.16,2.164842,0.077738,0.493528,0.131951,24.415178,0.061673,0.544416,0.11259,44.696077,0.012226,0.013581,0.006057,0.00249,3.402722,0.124538,27.322732,2.904569
PSO,0.083211,0.221932,0.16,2.341803,0.088827,0.35571,0.121831,23.817826,0.076041,0.415406,0.106758,43.287629,0.01457,0.012095,0.021056,-8.6e-05,3.433198,0.121763,28.195727,2.946146
PSO,0.083191,0.2,0.16,1.6283,0.089992,0.320366,0.125511,23.87349,0.069775,0.565467,0.123674,45.0,0.016438,0.014009,0.023705,0.000585,3.354021,0.117781,28.47684,2.882898
PSO,0.074612,0.2,0.16,0.605762,0.080531,0.550411,0.119112,23.736825,0.066803,0.533737,0.103966,43.565462,0.012372,0.01683,0.020744,0.001724,2.919381,0.107484,27.161003,2.489444
PSO,0.082461,0.200001,0.134753,2.279036,0.06836,0.302034,0.123659,25.756028,0.072808,0.485245,0.105348,40.194022,0.016794,0.011949,0.015201,0.008231,3.3691,0.120296,28.006673,2.887914
PSO,0.075818,0.200618,0.12,2.06635,0.084537,0.395653,0.123676,24.453661,0.07221,0.500251,0.107844,43.162277,0.017281,0.012372,0.01954,0.006908,3.264783,0.139229,23.449099,2.707869
PSO,0.088451,0.241939,0.158961,2.177971,0.076718,0.548486,0.122117,23.795306,0.084162,0.542938,0.111327,44.088833,0.012064,0.01355,0.000974,0.007029,3.44763,0.127927,26.950014,2.935922
PSO,0.077455,0.2,0.157714,2.159701,0.079563,0.411993,0.125444,24.205301,0.071253,0.505923,0.110346,45.0,0.013509,0.013212,0.01591,0.000533,3.429925,0.12394,27.674109,2.934166
PSO,0.077202,0.226679,0.16,1.715092,0.082937,0.352169,0.119257,24.016065,0.072673,0.428676,0.108627,43.591954,0.016581,0.012206,0.025354,0.002728,3.353333,0.116416,28.804695,2.887669
PSO,0.081089,0.2,0.16,1.909764,0.085891,0.416748,0.115375,24.338095,0.069288,0.548604,0.111119,44.99998,0.018127,0.014552,0.023642,0.004627,3.372014,0.120138,28.067946,2.891463
PSO,0.080729,0.2,0.16,0.492991,0.084806,0.389867,0.132597,24.044336,0.076056,0.52041,0.106494,44.608688,0.012694,0.016034,0.018086,0.002169,3.285588,0.109274,30.067422,2.848492
PSO,0.076925,0.200001,0.158949,2.297701,0.080478,0.412425,0.123921,23.325893,0.077943,0.433875,0.100897,40.696862,0.015976,0.008832,0.015551,0.016322,3.359867,0.114691,29.294839,2.901102
PSO,0.081562,0.211054,0.143937,2.264652,0.083591,0.405203,0.127438,24.441881,0.07375,0.536979,0.108041,43.195912,0.015371,0.015396,0.022131,0.007477,3.396973,0.122838,27.654014,2.90562
PSO,0.084117,0.230448,0.158656,2.193311,0.07806,0.558973,0.117054,23.57913,0.09,0.522041,0.110127,43.691915,0.013851,0.014004,0.012927,0.008808,3.445326,0.125466,27.460335,2.943463
PSO,0.069583,0.2,0.1582,2.035534,0.074892,0.466288,0.12716,24.17092,0.076613,0.513698,0.108261,44.99998,0.014102,0.015276,0.015969,-0.00101,3.098263,0.121534,25.492909,2.612126
PSO,0.085018,0.210418,0.16,2.291546,0.087221,0.421183,0.123032,24.15969,0.073571,0.571757,0.107901,43.809269,0.014136,0.012735,0.016743,0.004873,3.454118,0.123556,27.955997,2.959896
PSO,0.075309,0.207528,0.16,2.256034,0.074997,0.39572,0.125862,24.428174,0.075485,0.521834,0.112385,43.421336,0.013648,0.014108,0.014049,0.008273,3.400052,0.120275,28.269019,2.918953
PSO,0.08549,0.2,0.16,0.564929,0.085201,0.300002,0.137002,24.771587,0.080442,0.516946,0.110052,44.812313,0.013055,0.01262,0.014766,0.004485,3.40683,0.115587,29.474274,2.944483
PSO,0.077138,0.200001,0.16,2.271363,0.089117,0.487611,0.126047,22.895297,0.0806,0.503868,0.106604,44.725047,0.015111,0.008948,0.015826,0.016834,3.490965,0.123134,28.350947,2.998429
PSO,0.08198,0.216178,0.16,2.406058,0.085566,0.527787,0.129053,24.294252,0.079915,0.549642,0.107492,44.029409,0.013682,0.009542,0.021531,0.013148,3.47331,0.126044,27.556279,2.969133
PSO,0.077881,0.2,0.159388,2.30873,0.080855,0.499989,0.117724,22.457637,0.086843,0.497095,0.10869,44.820133,0.015581,0.009025,0.021758,0.016422,3.443259,0.12225,28.165822,2.954261
PSO,0.07583,0.2,0.16,2.205673,0.09,0.441526,0.127053,24.080384,0.074127,0.503796,0.10547,44.999988,0.014263,0.010924,0.015918,0.015386,3.488322,0.124704,27.972851,2.989507
PSO,0.087435,0.2,0.16,2.676227,0.089996,0.532629,0.126349,23.589762,0.083167,0.6,0.106033,44.98124,0.012821,0.009772,0.010649,0.012394,3.501173,0.13351,26.224127,2.967135
PSO,0.075072,0.2,0.16,2.021583,0.08678,0.458841,0.12578,23.624374,0.070466,0.485116,0.10789,44.874415,0.013841,0.01179,0.015677,0.019238,3.433664,0.119838,28.652504,2.954312
PSO,0.077143,0.208703,0.16,2.088982,0.09,0.414744,0.126048,24.149022,0.082031,0.49418,0.105781,43.664219,0.014449,0.011255,0.016596,0.011396,3.463826,0.122579,28.257964,2.973511
PSO,0.087925,0.2,0.16,2.566649,0.086124,0.484245,0.139339,22.591297,0.083715,0.501874,0.112448,44.84122,0.013632,0.0087,0.013707,0.023817,3.498584,0.129427,27.031345,2.980876
PSO,0.077287,0.2,0.16,2.252937,0.09,0.540239,0.127535,22.593817,0.08246,0.552858,0.110598,44.999985,0.014505,0.009028,0.016019,0.017193,3.482269,0.124384,27.996105,2.984733
PSO,0.076077,0.2,0.16,2.465103,0.089399,0.567408,0.127991,23.26135,0.084943,0.51289,0.107027,45.0,0.012507,0.0087,0.013733,0.020895,3.476468,0.126489,27.484437,2.970513
PSO,0.07245,0.200022,0.16,2.348088,0.089992,0.449727,0.130055,22.262337,0.083938,0.482121,0.106505,45.0,0.016599,0.008704,0.022834,0.02218,3.472584,0.120673,28.776777,2.989892
PSO,0.08062,0.200002,0.16,2.336591,0.089999,0.461943,0.126128,22.980759,0.078166,0.496945,0.104272,45.0,0.014571,0.0087,0.015767,0.0261,3.474504,0.122787,28.296946,2.983355
PSO,0.084007,0.2,0.16,2.838197,0.09,0.568085,0.128477,23.169313,0.088716,0.579554,0.104969,45.0,0.015266,0.0087,0.007421,0.020899,3.541618,0.133969,26.436193,3.005744
PSO,0.07446,0.2,0.16,1.972205,0.089697,0.457313,0.132152,21.823619,0.079203,0.473598,0.110777,44.607044,0.013959,0.0087,0.011434,0.0261,3.436731,0.11779,29.176707,2.96557
PSO,0.081868,0.2,0.16,2.238582,0.09,0.509789,0.12614,23.001033,0.079817,0.482616,0.106897,44.434909,0.014242,0.010279,0.017,0.017479,3.48321,0.123315,28.246362,2.989949
PSO,0.079394,0.2,0.16,3.525453,0.087701,0.6,0.128913,21.426857,0.081907,0.49376,0.113826,44.831562,0.015459,0.0087,0.015587,0.0261,3.492531,0.130873,26.686342,2.969037
PSO,0.077012,0.200001,0.16,2.26846,0.09,0.481151,0.127255,22.873605,0.08073,0.505234,0.107194,44.999952,0.015478,0.009051,0.015864,0.017228,3.488287,0.123164,28.3223,2.995631
PSO,0.078447,0.2,0.16,2.728571,0.09,0.5955,0.127354,22.439287,0.089566,0.569719,0.10495,45.0,0.014676,0.0087,0.002158,0.0261,3.485688,0.131067,26.594693,2.96142
