optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
refine-CMA-ES,0.076992,0.43243,0.157037,0.729437,0.086344,0.32391,0.128285,20.673101,0.0674,0.552549,0.113282,44.506606,0.013946,0.008836,0.021475,0.015356,3.245959,0.102601,31.636643,2.835554
refine-CMA-ES,0.085191,0.425526,0.158409,0.86336,0.088468,0.357115,0.138598,16.305948,0.088137,0.56155,0.122818,41.646954,0.01683,0.011692,0.023545,0.024587,3.012337,0.096055,31.36048,2.628116
refine-CMA-ES,0.089999,0.354031,0.159914,0.330026,0.083938,0.302862,0.138749,27.498131,0.067371,0.590756,0.12088,41.094751,0.016524,0.009275,0.016883,0.022433,3.371563,0.111319,30.287382,2.926287
refine-CMA-ES,0.08034,0.29201,0.138801,1.894841,0.089189,0.411603,0.132574,23.598305,0.061809,0.598792,0.113677,44.949418,0.013675,0.01383,0.023503,0.004819,3.358085,0.120661,27.830724,2.875441
refine-CMA-ES,0.079108,0.26706,0.159845,1.168419,0.088546,0.31603,0.127039,23.747767,0.05725,0.590009,0.121404,43.260355,0.018478,0.00941,0.011667,0.025451,3.34727,0.108569,30.830752,2.912993
refine-CMA-ES,0.089989,0.359791,0.153152,1.342834,0.086449,0.313779,0.138091,21.567584,0.068746,0.526693,0.109709,44.314481,0.016035,0.010964,0.015548,0.023677,3.270273,0.112903,28.965367,2.818661
refine-CMA-ES,0.085455,0.290819,0.15728,0.395887,0.08663,0.352631,0.139649,27.166525,0.073557,0.552346,0.118478,43.741527,0.01372,0.01332,0.017225,0.024059,3.429079,0.114662,29.905911,2.97043
refine-CMA-ES,0.071725,0.489416,0.152887,0.253854,0.089184,0.304764,0.132281,20.113974,0.06408,0.599997,0.112024,44.191558,0.018991,0.010556,0.018476,0.025318,3.021774,0.101303,29.82897,2.61656
refine-CMA-ES,0.080608,0.292623,0.158453,0.938042,0.089317,0.31038,0.123394,19.752455,0.065089,0.598162,0.116787,38.197861,0.01939,0.012299,0.025669,0.02601,3.102564,0.092681,33.475563,2.731838
refine-CMA-ES,0.087255,0.318952,0.155246,1.047976,0.08713,0.353199,0.139111,26.996419,0.074252,0.528616,0.122532,40.499682,0.014196,0.011346,0.025427,0.020033,3.378592,0.112055,30.151083,2.93037
