optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
refine-PSO,0.089995,0.2,0.159989,2.21408,0.089971,0.329128,0.132833,22.752551,0.09,0.530368,0.102931,44.988736,0.012942,0.008713,0.019095,0.020874,3.545036,0.127395,27.827043,3.035454
refine-PSO,0.09,0.200001,0.16,2.240381,0.088626,0.334625,0.13545,23.581554,0.088238,0.511342,0.101995,44.999242,0.010919,0.008701,0.016533,0.01937,3.538939,0.12683,27.90309,3.031621
refine-PSO,0.088634,0.2,0.16,2.47472,0.08965,0.349622,0.131502,23.060093,0.09,0.53178,0.101816,44.182273,0.012543,0.008905,0.01702,0.020444,3.515893,0.130545,26.932489,2.993714
refine-PSO,0.089991,0.219698,0.16,1.911091,0.089947,0.339138,0.130221,23.100571,0.09,0.540845,0.101151,44.411056,0.012577,0.0087,0.022667,0.019854,3.528428,0.123238,28.630945,3.035475
refine-PSO,0.09,0.200001,0.159234,1.941298,0.086777,0.338581,0.133995,23.885264,0.088114,0.555705,0.102501,44.999994,0.012565,0.0087,0.019608,0.022993,3.538791,0.1249,28.333091,3.039193
refine-PSO,0.089999,0.2,0.157307,1.863569,0.089995,0.344036,0.132504,21.81298,0.09,0.511155,0.101862,45.0,0.010987,0.009049,0.017899,0.021098,3.470357,0.120307,28.845744,2.989127
refine-PSO,0.09,0.200001,0.159068,1.967421,0.086832,0.342083,0.132947,24.171234,0.08892,0.542742,0.102289,44.999991,0.012667,0.008705,0.019771,0.02115,3.538664,0.126127,28.056321,3.034156
refine-PSO,0.09,0.2,0.159082,2.095762,0.086416,0.335912,0.134655,23.771589,0.088137,0.518876,0.102304,45.0,0.012757,0.0087,0.017175,0.023195,3.531192,0.127825,27.625232,3.019893
refine-PSO,0.09,0.200001,0.159031,2.135463,0.085436,0.333441,0.133382,23.992453,0.087407,0.548889,0.102701,44.999766,0.01255,0.0087,0.019236,0.020802,3.53919,0.128738,27.491496,3.024239
refine-PSO,0.089834,0.207215,0.159453,2.070474,0.087346,0.337209,0.134326,23.815522,0.088146,0.556324,0.101654,44.999942,0.013135,0.0087,0.019972,0.022537,3.516836,0.127793,27.519766,3.005663
refine-PSO,0.09,0.2,0.158855,1.927416,0.089143,0.338744,0.134479,23.616767,0.088335,0.543654,0.10262,44.65775,0.012563,0.0087,0.020078,0.022136,3.543502,0.123783,28.626669,3.048369
refine-PSO,0.09,0.2,0.1592,2.247575,0.089152,0.339052,0.133512,23.615268,0.08733,0.531445,0.103233,43.87542,0.012415,0.0087,0.019684,0.023322,3.507961,0.124166,28.252223,3.011297
refine-PSO,0.09,0.200001,0.159234,1.941298,0.086777,0.338581,0.133995,23.885264,0.088114,0.555705,0.102501,44.999994,0.012565,0.0087,0.019608,0.022993,3.538791,0.1249,28.333091,3.039193
refine-PSO,0.09,0.200002,0.159376,1.968664,0.08836,0.342063,0.134335,23.629964,0.088645,0.528303,0.101929,45.0,0.012364,0.008949,0.0204,0.021407,3.53404,0.125018,28.268273,3.033969
refine-PSO,0.089999,0.2,0.15986,1.95789,0.089984,0.333789,0.13533,23.457273,0.088037,0.537762,0.102563,44.645837,0.012604,0.008711,0.021152,0.021291,3.544089,0.124281,28.516763,3.046966
refine-PSO,0.09,0.2,0.159725,1.732128,0.089995,0.336562,0.136589,23.506595,0.088114,0.540677,0.1026,44.732427,0.012778,0.0087,0.020622,0.020167,3.505342,0.121849,28.767959,3.017947
refine-PSO,0.09,0.2,0.159515,1.910623,0.09,0.338633,0.135397,23.592026,0.087932,0.540762,0.102626,44.648976,0.012642,0.0087,0.020552,0.021746,3.543431,0.124414,28.480947,3.045775
refine-PSO,0.09,0.2,0.159149,1.762229,0.09,0.335529,0.134449,23.503157,0.087846,0.540095,0.102264,44.679605,0.012435,0.008706,0.020652,0.020209,3.516566,0.121647,28.90794,3.029978
refine-PSO,0.09,0.2,0.159726,1.752514,0.08947,0.338797,0.134666,23.572383,0.088032,0.540502,0.102158,44.694617,0.012708,0.0087,0.020476,0.021074,3.535314,0.122439,28.874107,3.045559
refine-PSO,0.09,0.200029,0.159265,2.030711,0.089984,0.341917,0.135496,23.457965,0.087992,0.53881,0.103028,44.854963,0.012679,0.0087,0.021745,0.021416,3.531549,0.124751,28.308778,3.032545
refine-PSO,0.09,0.2,0.158895,1.891678,0.089942,0.337938,0.134333,23.541846,0.088802,0.545905,0.102562,44.6619,0.012715,0.0087,0.020836,0.021549,3.535601,0.122671,28.821915,3.044918
refine-PSO,0.09,0.2,0.159857,1.78119,0.09,0.3354,0.135987,23.59501,0.087952,0.544961,0.10274,44.67133,0.012767,0.0087,0.021446,0.021507,3.54119,0.121141,29.231888,3.056625
refine-PSO,0.089999,0.2,0.158903,2.068605,0.089978,0.333688,0.132977,23.731508,0.089075,0.5423,0.102447,44.509394,0.012842,0.0087,0.019624,0.021911,3.541405,0.124695,28.400431,3.042623
refine-PSO,0.09,0.2,0.159608,1.97573,0.089958,0.335623,0.134998,23.46884,0.088304,0.520813,0.102287,44.603223,0.01232,0.008733,0.020425,0.018972,3.534592,0.123727,28.567763,3.039686
refine-PSO,0.089991,0.2,0.158322,1.883505,0.084185,0.326842,0.134813,24.171473,0.086396,0.551227,0.103045,45.0,0.012596,0.0087,0.021257,0.021279,3.530453,0.122956,28.713117,3.038628
refine-PSO,0.09,0.2,0.15867,1.761125,0.088058,0.343157,0.134359,23.624692,0.088977,0.552918,0.101255,44.861046,0.012539,0.0087,0.019012,0.020815,3.528416,0.122191,28.876255,3.039653
refine-PSO,0.09,0.2,0.158282,1.935114,0.088735,0.338628,0.136591,23.876027,0.087503,0.545076,0.103352,44.781715,0.012563,0.0087,0.018782,0.023276,3.533347,0.123309,28.654397,3.040111
refine-PSO,0.089999,0.2,0.158456,1.78214,0.088727,0.35832,0.134866,23.749233,0.086883,0.539024,0.101941,44.275769,0.012646,0.0087,0.020457,0.021671,3.530854,0.122077,28.923187,3.042546
refine-PSO,0.089993,0.2,0.158831,1.934655,0.089936,0.338695,0.134011,23.595481,0.08834,0.543756,0.102624,44.697924,0.012563,0.008701,0.019612,0.022759,3.546202,0.123493,28.715878,3.052231
refine-PSO,0.09,0.2,0.16,1.994651,0.088266,0.339206,0.135407,24.535699,0.087909,0.55411,0.102657,44.779581,0.013089,0.0087,0.021288,0.021736,3.542259,0.126547,27.991736,3.036073
refine-PSO,0.089997,0.2,0.158769,2.053496,0.089999,0.335713,0.133516,23.475875,0.088056,0.544205,0.10261,44.495955,0.012874,0.0087,0.019539,0.022544,3.537178,0.125843,28.1079,3.033807
refine-PSO,0.089999,0.2,0.159456,1.870315,0.089999,0.336551,0.134253,23.324943,0.088332,0.527719,0.102485,44.414478,0.012442,0.008703,0.02172,0.01898,3.523222,0.12025,29.299217,3.042223
