optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
Sobol,0.068963,0.422087,0.159275,3.478159,0.060429,0.323304,0.126028,24.751184,0.066466,0.563444,0.126018,36.135347,0.0111,0.012656,0.012766,0.021932,3.223624,0.119998,26.863932,2.743631
Sobol,0.061944,0.320043,0.143128,1.948766,0.062994,0.482119,0.115189,18.819713,0.077779,0.446985,0.128679,41.996108,0.016161,0.017155,0.023394,0.012156,3.019908,0.10734,28.134135,2.590549
Sobol,0.044379,0.378839,0.122179,4.77135,0.066843,0.333896,0.134178,12.958826,0.077912,0.315125,0.102325,34.215307,0.02089,0.021691,0.008191,0.020795,2.663262,0.159129,16.736493,2.026746
Sobol,0.078585,0.233565,0.148422,2.287732,0.041969,0.546911,0.112753,25.34188,0.06143,0.566593,0.118391,42.709994,0.010581,0.013512,0.001229,0.004266,3.291173,0.121516,27.084233,2.805109
Sobol,0.085264,0.396248,0.151208,1.676156,0.04637,0.499107,0.137024,11.393893,0.084708,0.39578,0.105563,44.412315,0.017753,0.010822,-0.000524,-0.002417,2.272035,0.108039,21.029804,1.839879
Sobol,0.050185,0.241349,0.13995,4.154893,0.072026,0.421547,0.116225,25.261911,0.054699,0.52287,0.118781,32.636774,0.01181,0.02439,0.013144,0.02234,2.990701,0.123457,24.224694,2.496874
Sobol,0.057845,0.463338,0.142825,1.244091,0.083607,0.374039,0.121958,21.384865,0.049902,0.5545,0.125529,29.143398,0.023952,0.016173,0.023635,-0.009322,2.629049,0.083606,31.445613,2.294624
Sobol,0.066704,0.317813,0.126564,3.727564,0.057994,0.582939,0.101199,17.49751,0.070682,0.364131,0.110182,38.730627,0.013634,0.018767,-0.014074,0.00646,2.988077,0.132972,22.471439,2.456188
Sobol,0.065458,0.476406,0.157457,1.895099,0.071133,0.426911,0.118528,21.889107,0.075783,0.5309,0.110463,43.838168,0.019845,0.02046,0.017002,-0.001565,2.585859,0.126218,20.487266,2.080987
Sobol,0.055965,0.331113,0.1337,4.383255,0.045472,0.489934,0.139643,17.027468,0.044797,0.349944,0.125131,33.1916,0.00945,0.014471,-0.006941,0.024391,2.834755,0.106412,26.639419,2.409107
Sobol,0.05226,0.401699,0.149076,0.222511,0.058897,0.59358,0.103579,12.120343,0.059019,0.390965,0.120615,27.528942,0.022204,0.023909,0.002637,-0.004955,2.216466,0.056984,38.896063,1.988529
Sobol,0.086314,0.247031,0.120313,2.696468,0.084503,0.361939,0.124656,24.501271,0.080385,0.489892,0.103847,40.364345,0.016202,0.011294,0.009522,0.009466,3.379099,0.125665,26.889658,2.876438
Sobol,0.046081,0.394019,0.139022,2.672018,0.041764,0.529682,0.121627,27.007791,0.076058,0.330976,0.116539,36.737175,0.019601,0.025508,0.013385,0.000884,2.972821,0.136635,21.757404,2.426281
Sobol,0.080514,0.373369,0.137557,3.339779,0.079321,0.393231,0.105098,12.198196,0.053985,0.319684,0.117258,37.700291,0.025065,0.017387,0.011893,0.012938,2.889853,0.100048,28.884637,2.489661
Sobol,0.045575,0.227899,0.151295,0.851168,0.054496,0.452129,0.126799,26.06833,0.085361,0.59924,0.103339,30.333882,0.014696,0.017825,-0.001692,-0.013565,1.721988,0.183659,9.376007,0.987352
Sobol,0.062647,0.448664,0.125929,3.761915,0.050654,0.554619,0.110134,20.03364,0.068477,0.478547,0.111941,35.86397,0.018866,0.009589,-0.012905,0.016344,2.896826,0.134445,21.546515,2.359045
Sobol,0.071267,0.293819,0.144671,1.288423,0.075534,0.327069,0.131875,16.14424,0.052191,0.4404,0.127524,41.042035,0.012873,0.025351,0.024883,0.001345,2.445018,0.097901,24.974434,2.053415
Sobol,0.075484,0.411007,0.1289,0.971537,0.040221,0.349925,0.109077,13.281723,0.058456,0.514733,0.129625,44.52962,0.013432,0.009974,0.003285,0.014935,2.372749,0.0948,25.028961,1.993548
Sobol,0.059977,0.256475,0.140138,3.453769,0.065444,0.568093,0.127689,27.168714,0.087238,0.403894,0.11359,32.241615,0.024838,0.024695,0.006274,-0.010424,2.923024,0.137801,21.211911,2.37182
Sobol,0.041795,0.485716,0.137086,1.794216,0.089799,0.520681,0.114128,18.950502,0.066595,0.374614,0.101222,29.03488,0.010929,0.015259,0.020227,0.019565,2.67383,0.081895,32.64929,2.346248
Sobol,0.082741,0.340557,0.153329,4.271728,0.064534,0.433666,0.132701,15.043753,0.047726,0.544042,0.115626,39.134015,0.017959,0.019138,-0.007606,0.003262,2.584343,0.117349,22.022798,2.114949
Sobol,0.048495,0.284511,0.124847,2.405777,0.081493,0.533225,0.136094,18.127575,0.040285,0.465729,0.121795,31.835253,0.021636,0.012609,0.021658,0.021151,2.718732,0.091315,29.772962,2.35347
Sobol,0.053286,0.363927,0.157928,2.815336,0.072969,0.487,0.101934,11.037484,0.063539,0.574722,0.122545,34.901446,0.016582,0.020843,0.015141,-0.008116,2.353462,0.085855,27.411935,2.01004
Sobol,0.079996,0.239477,0.150261,0.18845,0.067029,0.315972,0.100201,13.548851,0.044538,0.588255,0.100247,31.559867,0.009283,0.009696,-0.003815,0.016485,2.519419,0.063618,39.602026,2.264945
Sobol,0.069666,0.218593,0.131667,0.337987,0.048528,0.39586,0.121169,23.401585,0.082017,0.307014,0.1093,41.720459,0.023587,0.013817,-0.00234,0.00749,3.062716,0.109947,27.856243,2.622927
Sobol,0.053605,0.315734,0.124304,0.168172,0.05104,0.370647,0.133117,14.253355,0.052469,0.473053,0.12997,32.550429,0.014881,0.015365,1.6e-05,0.00686,2.478817,0.066572,37.235051,2.212529
Sobol,0.048362,0.388954,0.158468,4.444895,0.053326,0.41821,0.108856,14.918075,0.053703,0.586732,0.11572,29.332771,0.018986,0.024546,-0.014618,-0.004101,2.592613,0.09551,27.145011,2.210574
Sobol,0.088674,0.243371,0.13221,1.933557,0.078939,0.499809,0.128057,19.627824,0.085616,0.331914,0.101068,38.885057,0.013026,0.009842,0.02466,0.02178,3.17303,0.105254,30.146525,2.752016
Sobol,0.082868,0.386116,0.129449,1.290242,0.086453,0.545894,0.102327,18.26223,0.058911,0.499213,0.121859,37.315169,0.019659,0.013676,0.017144,0.01895,2.99658,0.096109,31.178859,2.612143
Sobol,0.041684,0.231558,0.140692,3.81624,0.061621,0.336968,0.120903,22.303579,0.08052,0.382509,0.106292,31.043836,0.009367,0.02072,-0.005147,0.003866,2.907154,0.117338,24.775794,2.4378
Sobol,0.060293,0.45438,0.136537,0.789527,0.043527,0.383336,0.11728,23.822036,0.075649,0.339161,0.108924,34.129184,0.02205,0.012775,0.000849,0.01555,2.815347,0.101924,27.621984,2.407651
Sobol,0.075159,0.309196,0.152775,3.301333,0.068402,0.460852,0.135896,10.073957,0.044909,0.542565,0.12286,42.588743,0.016081,0.021893,0.009374,-0.011028,2.12663,0.117952,18.029687,1.654824
Sobol,0.071586,0.41701,0.138254,4.244256,0.047352,0.511833,0.103176,17.17469,0.063675,0.316466,0.124961,43.068128,0.010087,0.011171,-0.010125,0.016953,3.09417,0.137235,22.546431,2.545228
Sobol,0.062337,0.271565,0.151996,1.721577,0.072569,0.443685,0.124912,21.198671,0.08191,0.564373,0.110573,34.06221,0.021518,0.023769,0.022764,0.000725,2.967086,0.096152,30.858174,2.582477
Sobol,0.086589,0.381041,0.14812,0.807342,0.07143,0.439408,0.129396,23.663396,0.070937,0.383482,0.120807,28.763362,0.018898,0.014638,0.00468,0.02393,2.827571,0.082009,34.47896,2.499536
Sobol,0.045693,0.498746,0.125233,3.499556,0.082673,0.339893,0.118154,24.909749,0.074255,0.457743,0.104175,28.375827,0.016393,0.014586,0.01403,0.012328,2.839462,0.117085,24.251293,2.371122
Sobol,0.080382,0.343928,0.143971,0.981911,0.057402,0.576953,0.139851,11.17842,0.040151,0.423122,0.120228,39.570684,0.023501,0.020626,-0.004449,-0.012945,1.90055,0.100456,18.919135,1.498724
Sobol,0.086202,0.426185,0.156752,0.365459,0.062571,0.47696,0.110375,25.669043,0.066874,0.557558,0.103638,37.996191,0.01355,0.025458,0.005315,-0.00558,2.909042,0.110447,26.338907,2.467255
Sobol,0.052387,0.281138,0.132989,2.887983,0.087062,0.404728,0.131448,13.149228,0.047468,0.36137,0.1169,30.082946,0.02499,0.009746,0.007465,0.010101,2.650241,0.079703,33.25127,2.331427
Sobol,0.05564,0.357922,0.149781,2.360003,0.067399,0.302088,0.10533,16.004963,0.058712,0.397711,0.127383,35.627921,0.011015,0.017693,0.019041,-0.00094,2.784586,0.084391,32.996161,2.447022
Sobol,0.065774,0.203502,0.121025,4.877798,0.042964,0.543277,0.12644,20.732045,0.086955,0.521242,0.112022,41.352845,0.018148,0.017239,-0.009641,0.023756,3.081856,0.150943,20.417399,2.478085
Sobol,0.066775,0.366004,0.150501,0.749576,0.079926,0.396873,0.133754,16.338332,0.082635,0.393141,0.112333,36.381736,0.015332,0.013372,0.021599,-0.008677,2.596926,0.084606,30.69445,2.258504
Sobol,0.057764,0.211242,0.13924,3.262609,0.055441,0.483941,0.112991,20.364492,0.063033,0.488589,0.126956,31.716575,0.022388,0.021568,-0.011377,0.005805,2.809264,0.11287,24.88938,2.357784
Sobol,0.050458,0.437194,0.143532,1.484671,0.050097,0.530141,0.128825,26.292949,0.042368,0.534284,0.118704,35.05372,0.009024,0.012404,-0.003204,-0.003061,2.76117,0.109411,25.236695,2.323527
Sobol,0.085006,0.291809,0.127274,4.011885,0.07454,0.311992,0.108023,12.559482,0.071979,0.347429,0.10195,41.907716,0.020405,0.022808,0.015203,0.022995,2.618095,0.115062,22.753706,2.157846
Sobol,0.051996,0.235463,0.121856,3.286041,0.046945,0.516407,0.108594,10.87339,0.049718,0.497653,0.10735,39.409685,0.01298,0.020573,0.00811,-0.001424,2.10533,0.106933,19.688321,1.677598
Sobol,0.044643,0.33328,0.155746,2.127966,0.044928,0.524082,0.100791,11.80236,0.066026,0.437305,0.105161,32.394328,0.019192,0.01628,0.003989,0.004946,2.457686,0.07534,32.621145,2.156325
Sobol,0.063583,0.408908,0.121483,2.655917,0.059829,0.571442,0.137236,16.807129,0.089353,0.321279,0.110027,28.915836,0.014679,0.024242,-0.008307,0.014535,2.693111,0.101469,26.541154,2.287234
Sobol,0.073466,0.263846,0.147721,0.128236,0.085096,0.349214,0.115847,21.532069,0.056226,0.59735,0.125625,39.049966,0.026035,0.01069,0.020446,-0.012269,2.598242,0.096907,26.811625,2.210613
Sobol,0.077283,0.446658,0.123199,2.321295,0.05605,0.324025,0.123206,23.215503,0.049963,0.371838,0.123991,37.887091,0.017941,0.025762,-0.001309,0.018189,3.001792,0.11676,25.709107,2.534753
Sobol,0.061294,0.301099,0.146942,4.837871,0.080877,0.555615,0.104946,10.714703,0.070595,0.547093,0.107911,30.486792,0.011896,0.008898,0.010708,0.001746,2.791856,0.094426,29.566496,2.414151
Sobol,0.040487,0.375466,0.130287,0.561121,0.073977,0.453173,0.138277,17.911975,0.084792,0.513108,0.106808,35.7457,0.024104,0.018064,0.026066,0.011254,2.747968,0.088418,31.079302,2.394296
